model_name,fit_time
model_lr-opt_rmsprop-rate_0.01,1110.642622634
model_mlp-opt_rmsprop-rate_0.01,1737.700056806
model_lr-opt_rmsprop-rate_0.001,1182.2818296570003
model_lr-opt_rmsprop-rate_0.0001,1456.2810393960003
model_mlp-opt_rmsprop-rate_0.001,2094.049269893
model_lr-opt_sgd-rate_0.01,2045.9022249120012
model_dnn-opt_sgd-rate_0.01,5689.193935606
model_mlp-opt_rmsprop-rate_0.0001,2662.907671434001
model_dnn-opt_rmsprop-rate_0.01,9836.226037359005
model_mlp-opt_sgd-rate_0.01,4532.353135065996
model_lr-opt_sgd-rate_0.001,5387.000648318996
model_dnn-opt_adam-rate_0.01,13051.747043785006
model_dnn-opt_rmsprop-rate_0.001,4491.355882644002
model_mlp-opt_sgd-rate_0.001,3907.5233333310025
model_dnn-opt_rmsprop-rate_0.0001,5024.408593680995
model_dnn-opt_adam-rate_0.001,7303.956666643993
model_lr-opt_sgd-rate_0.0001,12797.235892475992
model_dnn-opt_sgd-rate_0.001,21428.35350870699
model_lr-opt_adam-rate_0.01,3829.499083958988
model_dnn-opt_adam-rate_0.0001,8492.455218314994
model_lr-opt_adam-rate_0.001,1490.404337311993
model_lr-opt_adam-rate_0.0001,1303.2316664080026
model_mlp-opt_adam-rate_0.001,2879.684305954999
model_mlp-opt_sgd-rate_0.0001,19002.426705026002
model_mlp-opt_adam-rate_0.01,1986.5556290950117
model_mlp-opt_adam-rate_0.0001,7708.73417002
model_dnn-opt_sgd-rate_0.0001,21754.46845577302
